"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14303092","JK384845","2026-08-23T22:42:00.000","046XX S SPRINGFIELD AVE","5000","OTHER OFFENSE","OTHER CRIME AGAINST PERSON","APARTMENT","false","true","0821","008","14","57","26","1151143","1873488","2026","2026-08-31T15:53:00.000","41.808735492","-87.721164505","
,  
(41.808735492, -87.721164505)"
"14303158","JK384823","2026-08-23T22:41:00.000","074XX S KIMBARK AVE","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","false","false","0324","003","8","43","15","1186167","1855955","2026","2026-08-31T15:53:00.000","41.759867082","-87.593258304","
,  
(41.759867082, -87.593258304)"
"14303707","JK385488","2026-08-23T22:40:00.000","074XX S SOUTH SHORE DR","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","VEHICLE NON-COMMERCIAL","false","false","0334","003","7","43","06","1195764","1856629","2026","2026-08-31T15:53:00.000","41.761484638","-87.55806373","
,  
(41.761484638, -87.55806373)"
"14303139","JK384866","2026-08-23T22:39:00.000","074XX S COLFAX AVE","0420","BATTERY","AGGRAVATED - KNIFE / CUTTING INSTRUMENT","APARTMENT","false","false","0334","003","7","43","04B","1194661","1856123","2026","2026-08-31T15:53:00.000","41.760123344","-87.562122867","
,  
(41.760123344, -87.562122867)"
"14303093","JK384926","2026-08-23T22:30:00.000","005XX N MICHIGAN AVE","5000","OTHER OFFENSE","OTHER CRIME AGAINST PERSON","CTA BUS","false","false","1834","018","42","8","26","1177337","1904027","2026","2026-08-31T15:53:00.000","41.891984471","-87.62416567","
,  
(41.891984471, -87.62416567)"
"14303250","JK385094","2026-08-23T22:30:00.000","011XX E BOWEN AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0214","002","4","36","14","1184268","1877355","2026","2026-08-31T15:53:00.000","41.818635102","-87.599548655","
,  
(41.818635102, -87.599548655)"
"14303136","JK384822","2026-08-23T22:30:00.000","074XX S DR MARTIN LUTHER KING JR DR","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","SIDEWALK","false","false","0323","003","6","69","04B","1180197","1855716","2026","2026-08-31T15:53:00.000","41.759350096","-87.61514544","
,  
(41.759350096, -87.61514544)"
"14304452","JK386685","2026-08-23T22:30:00.000","017XX W 77TH ST","0820","THEFT","$500 AND UNDER","STREET","false","false","0611","006","17","71","06","1166183","1853637","2026","2026-08-31T15:53:00.000","41.753954607","-87.666565337","
,  
(41.753954607, -87.666565337)"
"14304627","JK386823","2026-08-23T22:26:00.000","041XX W FULLERTON AVE","0620","BURGLARY","UNLAWFUL ENTRY","COMMERCIAL / BUSINESS OFFICE","false","false","2524","025","31","20","05","1148567","1915639","2026","2026-08-31T15:53:00.000","41.924452852","-87.729525431","
,  
(41.924452852, -87.729525431)"
"14303013","JK384816","2026-08-23T22:26:00.000","018XX W GARFIELD BLVD","2024","NARCOTICS","POSSESS - HEROIN (WHITE)","STREET","true","false","0715","007","16","67","18","1164825","1868068","2026","2026-08-31T15:53:00.000","41.793583967","-87.671134755","
,  
(41.793583967, -87.671134755)"
